"data.created_at";"data.id";"data.text";"data.public_metrics.retweet_count";"data.public_metrics.reply_count";"data.public_metrics.like_count";"data.public_metrics.quote_count";"meta.oldest_id";"meta.newest_id";"meta.result_count";"meta.next_token"
"48";"2021-12-25T21:53:31.000Z";1474860884359094272;"Floki Santa https://t.co/y3CTq16bGi";28187;26043;331203;2774;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"49";"2021-12-25T20:17:37.000Z";1474836752619741184;"Merry Christmas <U+0001F384><U+0001F381> <U+26C4><U+FE0F> <U+2B50><U+FE0F> <U+0001F603>";31532;28890;533209;1608;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"50";"2021-12-24T21:32:25.000Z";1474493189688070144;"Interesting
https://t.co/548FHpnnxU";3497;6875;34340;395;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"51";"2021-12-24T20:26:39.000Z";1474476638603821056;"RT @Tesla: Complete list of features here. Happy holidays! <U+2192> https://t.co/7DhUW0KUgO";2090;0;0;0;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"52";"2021-12-24T15:49:48.000Z";1474406965938114560;"Tesla holiday software update goes to wide release today!";5708;8525;114716;600;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"53";"2021-12-23T22:28:06.000Z";1474144811951214592;"10.8 looks good, rolling out today";1567;3091;38531;209;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"54";"2021-12-23T01:16:48.000Z";1473824879820615680;"The @SkepticsGuide book is <U+0001F44D>";3197;6213;49038;293;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"55";"2021-12-23T00:35:39.000Z";1473814525774336000;"Lots of Tesla cars to deliver before year end! Your support in taking delivery is much appreciated. 

Thanks also to the Tesla team working hard during the holidays!";7169;8624;144755;649;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"56";"2021-12-22T23:17:53.000Z";1473794952719224832;"Whereas radar has trouble seeing small pedestrians, they’re obvious to Tesla vision https://t.co/ANUy58lgl7";2130;4026;31608;180;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
"57";"2021-12-22T22:11:51.000Z";1473778335390048256;"Tesla holiday software release being tested with internal owners today. Broader rollout starts tomorrow evening.";4911;7267;96292;399;1468631917138522112;1484458533055836160;100;"7140dibdnow9c7btw3z3b263zzw5jzqtpirdutcqh6sz9"
